1;Sonsuzluğun Kıyısında;Ali Akman;2020;320;Türkçe;XYZ Yayınları;MEVCUT;Fantastik bir yolculuk.
2;Zamanın Efendisi;Ayşe Yılmaz;2018;250;Türkçe;ABC Yayınları;MEVCUT;Zaman yolculuğu üzerine.
3;Kayıp Yıldızlar;Mehmet Demir;2021;400;Türkçe;DEF Yayınları;MEVCUT;Kaybolan yıldızların hikayesi.
4;Gölgedeki Düş;Fatma Çelik;2019;280;Türkçe;GHI Yayınları;MEVCUT;Bir hayalin peşinde.
5;Aşk ve Savaş;Hasan Yılmaz;2022;360;Türkçe;JKL Yayınları;MEVCUT;İki kalp arasında geçen çatışma.
6;Ruhların Yolu;Elif Arslan;2020;450;Türkçe;MNO Yayınları;MEVCUT;Ruhsal bir keşif yolculuğu.
7;Kayıp Zamanın Peşinde;Burak Koç;2023;300;Türkçe;PQR Yayınları;MEVCUT;Zamanın izini sürmek.
8;Gökyüzüne Yolculuk;Zeynep Polat;2021;275;Türkçe;STU Yayınları;MEVCUT;Gökyüzüne açılan kapılar.
9;Karanlık Orman;Oğuz Duman;2017;350;Türkçe;VWX Yayınları;MEVCUT;Bir ormanın sırları.
10;Düşlerin Peşinde;Merve Sönmez;2022;330;Türkçe;YZA Yayınları;MEVCUT;Hayallerin gerçekleşme yolculuğu.
11;Denizlerin Çağrısı;Emre Aydın;2020;290;Türkçe;BCD Yayınları;MEVCUT;Deniz altındaki yaşam.
12;Sonsuz Gece;Defne Yurt;2019;310;Türkçe;EFG Yayınları;MEVCUT;Bir gecenin gizemi.
13;Yıldızların Sırrı;Cem Şahin;2021;360;Türkçe;HIJ Yayınları;MEVCUT;Yıldızların sırlarını keşfetmek.
14;Kırmızı Kelebek;Derya Akman;2023;280;Türkçe;KLM Yayınları;MEVCUT;Bir kelebeğin dönüşümü.
15;Gizli Bahçe;Seda Aslan;2020;240;Türkçe;NOP Yayınları;MEVCUT;Bir bahçenin gizemleri.
16;Kayıp Düşler;Serkan Taş;2021;320;Türkçe;QRS Yayınları;MEVCUT;Kaybolan hayallerin peşinde.
17;Dört Mevsim;Aylin Kaya;2018;300;Türkçe;TUV Yayınları;MEVCUT;Doğanın döngüsü.
18;Göl Manzarası;Hasan Yıldız;2022;260;Türkçe;WXY Yayınları;MEVCUT;Bir gölün hikayesi.
19;Hayaletin Gölgesi;Oğuz Koç;2019;340;Türkçe;ZAB Yayınları;MEVCUT;Bir hayaletin efsanesi.
20;Çiçekler ve Dalgalar;Nehir Erdem;2023;310;Türkçe;CDE Yayınları;MEVCUT;Doğanın uyumu.
